comparison,outcome,min,Q25,median,mean,Q75,max,increased,decreased,unchanged
rel:Unfavorable->Favorable|risk:Low,worst_shortage_penalty,-2.384185791015625e-07,0.0,0.0,3.5762786865234374e-09,0.0,2.384185791015625e-07,,,200
rel:Unfavorable->Favorable|risk:Low,T_COST,-2.384185791015625e-07,0.0,0.0,3.5762786865234374e-09,0.0,2.384185791015625e-07,,,200
rel:Unfavorable->Favorable|risk:Low,budget_usage,-2.220446049250313e-16,0.0,0.0,-6.661338147750939e-18,0.0,2.220446049250313e-16,,,200
rel:Unfavorable->Reference|risk:Medium,F_total,-469110058.5386677,0.0,0.0,-12532090.001851136,0.0,358760607.62889606,19,24,157
rel:Unfavorable->Reference|risk:Medium,F_Water,-17915363.859447412,0.0,0.0,-260700.16664039507,0.0,17915363.859447412,17,15,168
rel:Unfavorable->Reference|risk:Medium,F_Vaccine,-3129094.671887938,0.0,0.0,95420.59293321612,0.0,3568575.3294039113,18,11,171
rel:Unfavorable->Reference|risk:Medium,F_Crackers,-472290792.4469841,0.0,0.0,-12366810.428143956,0.0,344509691.1914243,18,24,158
rel:Unfavorable->Reference|risk:Medium,paid_R_any,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Reference|risk:Medium,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Reference|risk:Medium,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Reference|risk:Medium,worst_shortage_Water,-10400000.0,0.0,0.0,151338.35708451728,0.0,10400000.0,15,17,168
rel:Unfavorable->Reference|risk:Medium,worst_shortage_Vaccine,-2071584.1284032632,0.0,0.0,-55392.3534174905,0.0,1816462.3863039035,11,18,171
rel:Unfavorable->Reference|risk:Medium,worst_shortage_Crackers,-199990400.22295833,0.0,0.0,7179024.074628215,0.0,274168265.8517959,24,18,158
rel:Unfavorable->Reference|risk:Medium,worst_shortage_penalty,-2.384185791015625e-07,0.0,0.0,-1.1920928955078125e-09,0.0,2.384185791015625e-07,,,200
rel:Unfavorable->Reference|risk:Medium,T_COST,-2.384185791015625e-07,0.0,0.0,-1.1920928955078125e-09,0.0,2.384185791015625e-07,,,200
rel:Unfavorable->Reference|risk:Medium,budget_usage,-2.220446049250313e-16,0.0,0.0,4.440892098500626e-18,0.0,4.440892098500626e-16,,,200
